selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
20.9025,2018,20000,14.28,1998,254.7,4,0,0,0,1,0,0,0
5.51,2015,102000,20.73,1373,91.1,7,0,0,0,1,1,1,0
10.39,2020,10000,23.7,1396,88.7,2,1,0,0,0,1,1,0
2.2,2011,83000,17.5,1298,85.8,11,0,0,0,1,1,1,0
20.9025,2015,65000,13,2987,261.5,7,1,0,0,0,0,1,0
7.15,2016,41666,15.63,1499,110.4,6,0,0,0,1,0,1,0
4,2015,46138,20.4,1197,81.8,7,0,0,0,1,1,1,0
2.7,2016,55000,21.94,1196,61.7,6,0,0,0,0,1,1,0
7.25,2018,36725,21.21,1197,81.8,4,0,0,0,1,0,1,0
2.65,2011,65555,16.78,1496,88.73,11,0,0,0,1,1,1,0
7,2017,50000,25.5,1498,98.6,5,1,0,0,0,1,1,0
20.9025,2020,9000,17.2,1969,235,2,1,0,0,0,0,0,1
20.9025,2017,45000,12.9,2755,174.5,5,1,0,0,0,0,0,1
6.65,2016,58000,25.47,1248,88.5,6,1,0,0,0,1,0,1
5,2017,46931,21.01,1197,81.8,5,0,0,0,1,1,1,0
5.54,2016,30000,22.54,1396,88.73,6,1,0,0,0,1,1,0
3.6,2013,62000,22.71,1461,84.8,9,1,0,0,0,1,1,0
8.35,2017,15000,16.8,1497,116.3,5,0,0,0,1,1,1,0
4.45,2015,34156,16.47,1198,74,7,0,0,0,1,1,1,0
2.65,2012,49454,18.5,1198,86.8,10,0,0,0,1,1,1,0
5.5,2014,70000,26,1498,98.6,8,1,0,0,0,1,1,0
5.15,2019,18800,20.4,1197,83.11,3,0,0,0,1,1,1,0
5.5,2015,49000,28.09,1248,88.5,7,1,0,0,0,1,1,0
3.75,2014,16000,17.21,1493,100,8,1,0,0,0,1,0,1
5,2016,35000,15.4,1497,117.3,6,0,0,0,1,1,0,1
2.85,2011,42000,18.3,1197,5,11,0,0,0,1,1,1,0
5.5,2015,62000,22.7,1598,118,7,1,0,0,0,1,1,0
3.65,2013,75000,20.54,1598,103.6,9,1,0,0,0,1,1,0
5,2014,56000,17.4,1497,117.3,8,0,0,0,1,1,1,0
20.9025,2018,18000,18,2993,255,4,1,0,0,0,0,0,1
4.45,2019,23000,23.84,1199,84,3,0,0,0,1,1,1,0
10.31,2013,76000,20,2143,107.3,9,1,0,0,0,0,1,0
7.1,2017,20000,19.56,1197,81.8,5,0,0,0,1,0,1,0
7,2016,120000,24.3,1248,88.5,6,1,0,0,0,1,1,0
3.5,2015,53000,26.2,998,58.2,7,0,0,0,0,1,1,0
3.45,2013,112000,23.4,1248,74,9,1,0,0,0,1,1,0
5.75,2017,19567,19.34,1198,75.94,5,0,0,0,1,0,1,0
18,2013,80000,15.73,1968,174.33,9,1,0,0,0,0,1,0
1.99,2011,43493,15.6,1196,70,11,0,0,0,1,1,1,0
20.9025,2018,6577,14.74,1991,181.03,4,0,0,0,1,0,1,0
7.5,2018,6905,19,1199,88.76,4,0,0,0,1,0,1,0
5.25,2017,24513,21.63,998,67.04,5,0,0,0,1,1,1,0
3.99,2016,76508,20.4,1197,83.11,6,0,0,0,1,1,1,0
8.25,2017,28500,22.32,1582,126.3,5,1,0,0,0,1,1,0
3.85,2009,77000,17,1497,118,13,0,0,0,1,1,1,0
15.25,2013,125000,12.3,1796,185,9,0,0,0,1,0,1,0
6.35,2018,18000,18.1,1199,88.7,4,0,0,0,1,0,1,0
